a,b,c,d,e,f,g,h
1,1,26,0,1,5,1,85
6,2,21,7,0,6,0,92
1,1,32,4,0,12,1,87
1,1,18,4,0,3,1,92
1,1,24,2,0,17,1,86
1,1,19,1,0,2,1,86
2,1,32,0,0,2,1,87
1,1,19,0,6,3,1,95
1,1,18,3,3,7,1,86
1,1,24,0,3,3,0,95
1,1,20,3,4,3,1,91
1,2,18,0,1,2,1,91
1,2,20,0,5,10,1,89
1,1,17,2,0,21,0,86
3,1,25,2,2,11,1,89
1,1,27,0,3,3,1,91
3,1,20,4,1,13,1,85
1,2,18,4,2,15,1,87
1,1,18,5,3,10,0,91
1,2,21,0,1,3,1,90
1,1,19,2,2,19,0,87
2,1,25,2,0,11,0,91
1,1,36,2,0,8,1,90
2,2,28,0,0,2,1,94
1,1,19,2,2,3,0,95
1,1,26,0,1,2,1,85
1,2,17,4,2,17,0,88
1,1,21,5,1,4,1,85
1,1,18,0,5,2,1,86
1,2,20,0,2,5,1,89
1,1,18,1,2,3,1,87
1,1,21,0,0,3,0,95
1,1,22,1,2,8,1,85
1,1,20,4,1,5,0,94
2,1,30,2,0,7,1,91
2,1,24,1,2,3,0,95
4,1,20,3,3,4,1,90
2,2,22,0,3,6,1,87
5,2,18,0,0,3,1,85
7,1,23,2,2,12,0,88
2,1,29,1,2,6,1,91
2,1,43,2,1,7,0,93
1,2,19,4,2,7,0,93
1,2,18,2,0,1,1,92
2,2,28,2,1,20,1,85
1,2,18,1,5,3,1,92
1,2,19,1,3,11,0,91
3,1,23,4,1,3,1,85
2,1,26,1,1,4,1,85
1,2,19,4,2,3,1,90
1,2,19,0,2,2,1,91
1,2,18,6,0,10,0,89
1,2,17,3,5,7,1,88
1,1,42,2,1,10,1,90
1,1,17,5,1,12,0,88
3,2,31,0,2,4,0,94
1,1,37,0,4,2,1,86
2,1,25,0,2,2,1,91
1,1,21,3,3,5,1,93
2,1,24,0,1,2,1,87
1,2,18,1,1,3,1,93
1,2,17,6,1,16,0,86
1,1,22,4,0,14,1,86
1,1,18,5,2,8,0,92
3,1,20,4,1,5,0,94
1,1,32,0,5,5,0,94
3,2,26,3,1,9,0,92
1,2,19,3,3,7,1,90
1,1,21,2,3,7,0,93
1,2,19,5,1,12,0,88
1,1,21,3,3,3,1,93
1,1,33,0,2,2,1,90
1,2,18,0,2,2,1,89
1,2,19,0,2,2,1,93
1,2,19,4,1,3,0,95
1,1,31,1,3,3,1,93
1,2,20,3,0,5,0,94
1,1,20,6,0,4,1,90
1,1,18,2,0,4,1,85
1,1,21,4,2,9,0,92
1,1,20,1,1,2,1,85
1,1,24,0,0,2,1,90
1,1,21,1,1,2,1,93
2,2,33,0,2,2,1,85
2,1,35,1,0,8,1,87
1,1,23,4,2,9,1,90
1,2,18,4,2,12,0,88
1,1,42,2,1,6,1,87
1,1,27,2,1,7,0,93
1,2,19,5,2,4,1,93
1,1,21,2,3,3,0,95
1,1,20,6,0,4,1,86
3,1,25,0,2,3,1,94
1,1,22,2,2,4,1,94
1,2,20,0,5,2,1,85
1,1,27,0,2,3,1,92
2,1,34,0,3,11,1,87
1,2,25,0,5,3,1,88
1,2,19,4,2,3,1,86
1,1,21,4,2,6,1,86
1,1,19,4,2,3,1,91
1,2,18,2,5,3,1,88
1,2,20,5,1,12,0,86
1,1,21,2,2,12,1,88
1,1,18,0,0,6,1,93
1,1,19,0,2,3,1,93
1,1,20,1,3,3,0,95
1,1,17,6,1,14,1,89
3,1,31,0,5,4,1,87
1,1,24,0,5,5,0,94
1,1,38,2,2,5,0,94
3,1,22,3,1,10,1,89
1,2,24,0,0,3,1,94
1,1,27,3,2,6,1,85
1,1,19,5,2,2,1,91
3,1,21,1,2,9,1,85
1,1,26,6,0,10,0,89
1,1,23,1,3,3,1,88
1,1,27,2,1,5,1,92
1,2,17,2,4,3,1,88
1,1,19,0,2,2,1,90
1,1,19,0,5,5,1,94
1,1,19,1,2,14,1,86
1,2,19,2,1,3,1,92
1,2,21,0,4,6,1,88
1,1,28,3,2,11,0,91
1,1,18,3,1,3,1,95
1,1,17,2,0,8,1,87
1,1,21,1,2,13,1,89
1,1,18,5,1,4,1,90
1,2,19,5,1,6,1,87
1,1,20,3,1,3,0,95
1,1,19,2,3,5,0,94
1,1,19,3,2,5,0,94
1,1,29,0,1,2,1,87
1,2,18,4,1,4,1,88
1,1,28,2,1,7,1,91
1,1,22,2,1,2,1,87
1,2,19,4,2,4,1,93
2,1,27,3,0,5,1,91
3,1,26,0,5,2,1,85
1,1,27,3,3,22,0,85
1,2,23,0,4,11,0,91
1,1,30,1,3,3,0,95
1,1,29,1,2,6,0,93
7,2,19,1,0,2,0,95
1,1,25,0,6,2,1,92
1,1,18,0,5,3,1,86
1,2,25,3,2,7,0,93
1,1,31,0,4,4,1,87